"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 12:18:13 GMT 2024","Mon Feb 19 12:18:13 GMT 2024","591","","MacOS Tests: Files Screen Tests","","","","Validate Sidebar is displayed in screen",""
"passed","Mon Feb 19 12:17:38 GMT 2024","Mon Feb 19 12:17:43 GMT 2024","4605","","MacOS Tests: Create Pin and Account Tests","","","","Save Recovery Seed Screen - User can click on I Saved It to continue",""
"passed","Mon Feb 19 13:40:51 GMT 2024","Mon Feb 19 13:40:57 GMT 2024","5739","","Group Chats Tests","","","","Chat User A - Group Chat is displayed on local user sidebar",""
"passed","Mon Feb 19 13:44:09 GMT 2024","Mon Feb 19 13:44:15 GMT 2024","6235","","Group Chats Edit Tests","","","","Group Chat Invited User - Validate remote user was correctly removed from the group chat",""
"passed","Mon Feb 19 12:26:42 GMT 2024","Mon Feb 19 12:26:44 GMT 2024","2624","","MacOS Tests: Friends Screen Tests","","","","Switch to Pending Friends view and validate elements displayed",""
"passed","Mon Feb 19 12:27:59 GMT 2024","Mon Feb 19 12:28:03 GMT 2024","4183","","MacOS Tests: Friends Screen Tests","","","","Validate tooltip for Deny Request button is displayed",""
"passed","Mon Feb 19 13:46:55 GMT 2024","Mon Feb 19 13:47:07 GMT 2024","12274","","Group Chats Favorites and Sidebar Tests","","","","Group Chat - Ensure in remote side that user was added again to the group",""
"passed","Mon Feb 19 12:22:50 GMT 2024","Mon Feb 19 12:22:56 GMT 2024","5717","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Status with more than 128 characters",""
"passed","Mon Feb 19 12:20:49 GMT 2024","Mon Feb 19 12:20:50 GMT 2024","985","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Profile Picture - Close Crop Tool Modal",""
"skipped","Mon Feb 19 13:24:25 GMT 2024","Mon Feb 19 13:24:25 GMT 2024","0","","Message Input Tests","","","","Emoji Suggested List - Can be closed without choosing suggestion",""
