"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3581","A3 - Pin cannot have more than 8 digits","mobile-chrome","Thu Dec 12 13:51:32 GMT 2024","passed","Thu Dec 12 13:51:35 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5602","I20 - Status should show correctly depending on which status user has set","mobile-chrome","Thu Dec 12 14:01:31 GMT 2024","passed","Thu Dec 12 14:01:36 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","6779","K14 - User should be able to add additional custom CSS to the application","mobile-chrome","Thu Dec 12 14:03:09 GMT 2024","passed","Thu Dec 12 14:03:16 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5676","F6, F11 -Clicking Upload should then open up the OS files browser and user can upload files in root folder","mobile-chrome","Thu Dec 12 14:07:09 GMT 2024","passed","Thu Dec 12 14:07:15 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","8906","H22, H23, H24, H25 - Invalid attempts for sending friend request","mobile-chrome","Thu Dec 12 13:52:44 GMT 2024","passed","Thu Dec 12 13:52:53 GMT 2024","Friends tests","02-friends-one-instance.spec.ts","",""
"","17502","B18 and B19, B23 to B25 - Chats Context Menu tests","desktop-chrome","Thu Dec 12 13:55:16 GMT 2024","passed","Thu Dec 12 13:55:33 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","23062","B67 - Sending and receiving GIFs and gif picker tests","mobile-chrome","Thu Dec 12 13:57:12 GMT 2024","passed","Thu Dec 12 13:57:35 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5433","K16 - Selected Emoji Font should be applied everywhere throughout the app","mobile-chrome","Thu Dec 12 14:03:16 GMT 2024","passed","Thu Dec 12 14:03:22 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","6441","A12 - If incorrect pin is entered, error message should be displayed","desktop-chrome","Thu Dec 12 13:51:51 GMT 2024","passed","Thu Dec 12 13:51:57 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","21906","B68 - Sending and receiving stickers and sticker picker tests","desktop-chrome","Thu Dec 12 13:57:28 GMT 2024","passed","Thu Dec 12 13:57:50 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4349","A13 - If Stay Unlocked is toggled off, user be redirected to enter PIN when refreshing page","desktop-chrome","Thu Dec 12 13:51:57 GMT 2024","passed","Thu Dec 12 13:52:02 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5921","T8 - Clicking Test Voice State should open debug voice page","mobile-chrome","Thu Dec 12 14:06:53 GMT 2024","passed","Thu Dec 12 14:06:59 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5107","M9 - User should be able to toggle on and off Call Timer","desktop-chrome","Thu Dec 12 14:03:35 GMT 2024","passed","Thu Dec 12 14:03:40 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","4965","N1 - User should land on Installed when navigating to this page","desktop-chrome","Thu Dec 12 14:03:45 GMT 2024","passed","Thu Dec 12 14:03:50 GMT 2024","Settings Extensions Tests","12-settings-extensions.spec.ts","",""
"","17033","H6, H19, B1 to B6, B16 and B17, B35 to B37 - Friend request happy path flow and then Chats Page basic send/receive text message flow","mobile-chrome","Thu Dec 12 13:53:55 GMT 2024","passed","Thu Dec 12 13:54:12 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5358","I4 - Clicking upload picture on Profile picture should open File Browser","mobile-chrome","Thu Dec 12 14:00:11 GMT 2024","passed","Thu Dec 12 14:00:16 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4772","I7 - Clicking shortID should copy DID into clipboard","desktop-chrome","Thu Dec 12 14:00:06 GMT 2024","passed","Thu Dec 12 14:00:11 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5550","K19 - Default Profile Picture Style selected should be applied correctly in the app","mobile-chrome","Thu Dec 12 14:03:22 GMT 2024","passed","Thu Dec 12 14:03:27 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5679","R4 - Clicking Open Website should take you to the Uplink website","desktop-chrome","Thu Dec 12 14:05:06 GMT 2024","passed","Thu Dec 12 14:05:12 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","6511","K13 - Selected primary color should be applied throughout the entire app","mobile-chrome","Thu Dec 12 14:03:03 GMT 2024","passed","Thu Dec 12 14:03:09 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5921","R8 - Clicking DevMode button 10 times should enable DevMode","mobile-chrome","Thu Dec 12 14:06:10 GMT 2024","passed","Thu Dec 12 14:06:16 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","5050","K19 - Default Profile Picture Style selected should be applied correctly in the app","desktop-chrome","Thu Dec 12 14:02:45 GMT 2024","passed","Thu Dec 12 14:02:50 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5011","M8 - User should be able to toggle on and off Message Sounds","desktop-chrome","Thu Dec 12 14:03:30 GMT 2024","passed","Thu Dec 12 14:03:35 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","5481","Q1 - User should be able to toggle on/off Notifications","mobile-chrome","Thu Dec 12 14:05:18 GMT 2024","passed","Thu Dec 12 14:05:23 GMT 2024","Settings Notifications Tests","16-settings-notifications.spec.ts","",""
