"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sidebar Chats Tests","","0","0","17","0","0"
"","Windows Tests: Chats Main Screen Tests","","0","0","9","2","0"
"","Windows Tests: Files Screen Tests","","0","0","24","2","0"
"","Chat Topbar Tests","","0","0","8","0","0"
"","Create Accounts and Chat Tests","","0","0","25","0","0"
"","MacOS Tests: Settings General Tests","","0","0","8","3","0"
"","MacOS Tests: Settings Profile Tests","","0","0","22","0","0"
"","MacOS Tests: Files Screen Tests","","0","0","24","2","0"
"","Message Input Tests","","0","0","9","9","0"
"","MacOS Tests: Settings Message Tests","","1","0","2","0","0"
"","Quick Profile Tests","","0","0","10","0","0"
"","Message Context Menu Tests","","0","0","12","0","0"
"","MacOS Tests: Create Pin and Account Tests","","0","0","16","3","0"
"","MacOS Tests: Chats Main Screen Tests","","0","0","9","2","0"
"","Message Attachments Tests","","0","0","21","0","0"
"","Windows Tests: Create Pin and Account Tests","","0","0","16","3","0"
"","Chat Replies Tests","","0","0","9","0","0"
"","Windows Tests: Settings Profile Tests","","0","0","2","0","0"
