"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 22:38:17 GMT 2024","Thu Oct 17 22:38:22 GMT 2024","4506","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A13 - If Stay Unlocked is toggled off, user be redirected to enter PIN when refreshing page",""
"passed","Thu Oct 17 22:37:29 GMT 2024","Thu Oct 17 22:37:32 GMT 2024","3544","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A3 - Pin cannot have more than 8 digits",""
"passed","Thu Oct 17 22:37:14 GMT 2024","Thu Oct 17 22:37:26 GMT 2024","12766","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A1, A9, A11 - Enter valid PIN redirects to Main Page",""
"passed","Thu Oct 17 22:38:27 GMT 2024","Thu Oct 17 22:38:32 GMT 2024","4880","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A15 - User can setup a custom profile picture when creating a new account",""
"passed","Thu Oct 17 22:38:22 GMT 2024","Thu Oct 17 22:38:27 GMT 2024","4870","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A14 - If Stay Unlocked is toggled on, user should be redirected to enter PIN after logging off",""
"passed","Thu Oct 17 22:38:05 GMT 2024","Thu Oct 17 22:38:11 GMT 2024","6042","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A8 - If Stay Unlocked is toggled on, user should bypass PIN page when logging in",""
"passed","Thu Oct 17 22:38:26 GMT 2024","Thu Oct 17 22:38:31 GMT 2024","4708","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A15 - User can setup a custom profile picture when creating a new account",""
"passed","Thu Oct 17 22:37:32 GMT 2024","Thu Oct 17 22:37:36 GMT 2024","3295","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A4 - Clicking red reset button should erase any inputs made",""
"passed","Thu Oct 17 22:38:22 GMT 2024","Thu Oct 17 22:38:26 GMT 2024","4799","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A14 - If Stay Unlocked is toggled on, user should be redirected to enter PIN after logging off",""
"passed","Thu Oct 17 22:38:05 GMT 2024","Thu Oct 17 22:38:11 GMT 2024","6148","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A8 - If Stay Unlocked is toggled on, user should bypass PIN page when logging in",""
"passed","Thu Oct 17 22:38:03 GMT 2024","Thu Oct 17 22:38:05 GMT 2024","2419","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A6, A7 - Scramble Keypad will change the order of pin input buttons",""
"passed","Thu Oct 17 22:38:03 GMT 2024","Thu Oct 17 22:38:05 GMT 2024","2223","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A6, A7 - Scramble Keypad will change the order of pin input buttons",""
"passed","Thu Oct 17 22:38:11 GMT 2024","Thu Oct 17 22:38:17 GMT 2024","6388","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A12 - If incorrect pin is entered, error message should be displayed",""
"passed","Thu Oct 17 22:38:17 GMT 2024","Thu Oct 17 22:38:22 GMT 2024","4370","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A13 - If Stay Unlocked is toggled off, user be redirected to enter PIN when refreshing page",""
"passed","Thu Oct 17 22:37:26 GMT 2024","Thu Oct 17 22:37:29 GMT 2024","2414","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A2 - Pin should have at least 4 digits",""
"passed","Thu Oct 17 22:38:32 GMT 2024","Thu Oct 17 22:38:36 GMT 2024","4680","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A16 - Default identicon profile image is assigned to new user if user does not setup a custom profile picture",""
"passed","Thu Oct 17 22:38:11 GMT 2024","Thu Oct 17 22:38:17 GMT 2024","6230","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A12 - If incorrect pin is entered, error message should be displayed",""
"failed","Thu Oct 17 22:37:54 GMT 2024","Thu Oct 17 22:38:01 GMT 2024","7174","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked",""
"passed","Thu Oct 17 22:37:14 GMT 2024","Thu Oct 17 22:37:26 GMT 2024","12535","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A1, A9, A11 - Enter valid PIN redirects to Main Page",""
"failed","Thu Oct 17 22:37:54 GMT 2024","Thu Oct 17 22:38:01 GMT 2024","7129","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked",""
"passed","Thu Oct 17 22:37:32 GMT 2024","Thu Oct 17 22:37:35 GMT 2024","2943","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A4 - Clicking red reset button should erase any inputs made",""
"passed","Thu Oct 17 22:38:31 GMT 2024","Thu Oct 17 22:38:36 GMT 2024","4555","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A16 - Default identicon profile image is assigned to new user if user does not setup a custom profile picture",""
"passed","Thu Oct 17 22:37:29 GMT 2024","Thu Oct 17 22:37:32 GMT 2024","3615","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A3 - Pin cannot have more than 8 digits",""
"passed","Thu Oct 17 22:37:26 GMT 2024","Thu Oct 17 22:37:29 GMT 2024","2457","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A2 - Pin should have at least 4 digits",""
