"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 21:51:04 GMT 2024","Thu Oct 17 21:51:09 GMT 2024","4938","mobile-chrome","24-files.spec.ts","Files Page Tests","","","F9 - User cannot create directories with existing name - Toast notification is shown",""
"passed","Thu Oct 17 21:49:32 GMT 2024","Thu Oct 17 21:49:38 GMT 2024","5846","desktop-chrome","20-settings-developer.spec.ts","Settings Developer Tests","","","T8 - Clicking Test Voice State should open debug voice page",""
"passed","Thu Oct 17 21:37:00 GMT 2024","Thu Oct 17 21:37:07 GMT 2024","6891","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A8 - If Stay Unlocked is toggled on, user should bypass PIN page when logging in",""
"passed","Thu Oct 17 21:49:08 GMT 2024","Thu Oct 17 21:49:14 GMT 2024","5678","desktop-chrome","20-settings-developer.spec.ts","Settings Developer Tests","","","T3 - Clicking Load MockData should load all mock data throughout app",""
"passed","Thu Oct 17 21:36:46 GMT 2024","Thu Oct 17 21:36:48 GMT 2024","2443","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A2 - Pin should have at least 4 digits",""
"passed","Thu Oct 17 21:44:16 GMT 2024","Thu Oct 17 21:44:20 GMT 2024","4650","mobile-chrome","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C3 - Hovering over Nav buttons should show tooltips",""
"skipped","Thu Oct 17 21:48:35 GMT 2024","Thu Oct 17 21:48:40 GMT 2024","4510","mobile-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O3 - Action dropdown should display correct keybind actions",""
"passed","Thu Oct 17 21:46:40 GMT 2024","Thu Oct 17 21:46:45 GMT 2024","4811","desktop-chrome","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M3 and M4 - Output device dropdown and output volume indicator should display",""
"passed","Thu Oct 17 21:36:50 GMT 2024","Thu Oct 17 21:36:53 GMT 2024","3632","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A3 - Pin cannot have more than 8 digits",""
"skipped","Thu Oct 17 21:43:03 GMT 2024","Thu Oct 17 21:43:03 GMT 2024","0","desktop-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","Videocall testing between two users - mute, unmute, fullscreen, expand/collapse call",""
"passed","Thu Oct 17 21:42:00 GMT 2024","Thu Oct 17 21:42:35 GMT 2024","34662","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","B51 - Chats Markdowns Tests",""
"passed","Thu Oct 17 21:47:01 GMT 2024","Thu Oct 17 21:47:06 GMT 2024","5203","mobile-chrome","09-settings-customizations.spec.ts","Settings Customization Tests","","","K12 - Clicking Pick should open up the finetune color selector",""
"passed","Thu Oct 17 21:47:09 GMT 2024","Thu Oct 17 21:47:14 GMT 2024","4790","desktop-chrome","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M10 - User should be able to test video device",""
"passed","Thu Oct 17 21:48:06 GMT 2024","Thu Oct 17 21:48:11 GMT 2024","4926","mobile-chrome","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M8 - User should be able to toggle on and off Message Sounds",""
"passed","Thu Oct 17 21:45:00 GMT 2024","Thu Oct 17 21:45:05 GMT 2024","5392","desktop-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I22 - Clicking copy should copy the Recovery Phrase to the users clipboard",""
"passed","Thu Oct 17 21:46:03 GMT 2024","Thu Oct 17 21:46:09 GMT 2024","5199","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I21 - Clicking Reveal Phrase should display the users Recovery Phrases",""
"passed","Thu Oct 17 21:37:33 GMT 2024","Thu Oct 17 21:37:39 GMT 2024","6243","mobile-chrome","02-friends-one-instance.spec.ts","Friends tests","","","H1, H2, H3, H4, H5, H8 - Navigate through friends pages and validate UI elements",""
"passed","Thu Oct 17 21:47:42 GMT 2024","Thu Oct 17 21:47:46 GMT 2024","4933","mobile-chrome","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M1 and M2 - Input dropdown and input volume indicator should display",""
"skipped","Thu Oct 17 21:47:22 GMT 2024","Thu Oct 17 21:47:22 GMT 2024","1","mobile-chrome","09-settings-customizations.spec.ts","Settings Customization Tests","","","K18 - Default Profile Picture Style dropdown should show expected default profile picture styles",""
"skipped","Thu Oct 17 21:48:44 GMT 2024","Thu Oct 17 21:48:49 GMT 2024","4534","mobile-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O7 - Highlighted border should display when user clicks cancel",""
"passed","Thu Oct 17 21:44:46 GMT 2024","Thu Oct 17 21:44:51 GMT 2024","4941","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I4 - Clicking upload picture on Profile picture should open File Browser",""
"passed","Thu Oct 17 21:44:36 GMT 2024","Thu Oct 17 21:44:40 GMT 2024","4560","desktop-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I17 - All text in StatusMessage should be selected after clicking into the text field a single time",""
"passed","Thu Oct 17 21:48:14 GMT 2024","Thu Oct 17 21:48:19 GMT 2024","4909","desktop-chrome","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q3 - User should be able to toggle on/off Message Notifications",""
"skipped","Thu Oct 17 21:40:56 GMT 2024","Thu Oct 17 21:40:56 GMT 2024","0","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","B8 to B14 - Quick Profile Local - Updating username, status, banner and profile picture",""
"passed","Thu Oct 17 21:44:56 GMT 2024","Thu Oct 17 21:45:01 GMT 2024","4804","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I6 - Username should be displayed in the Username textbox",""
"passed","Thu Oct 17 21:49:58 GMT 2024","Thu Oct 17 21:50:03 GMT 2024","4819","desktop-chrome","24-files.spec.ts","Files Page Tests","","","F8 - If user tries to create a folder with empty name or press Esc while name input is displayed, folder is not created",""
"passed","Thu Oct 17 21:48:09 GMT 2024","Thu Oct 17 21:48:14 GMT 2024","4859","desktop-chrome","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q2 - User should be able to toggle on/off Friend Request Notifications",""
"passed","Thu Oct 17 21:50:01 GMT 2024","Thu Oct 17 21:50:07 GMT 2024","6145","mobile-chrome","19-settings-licenses.spec.ts","Settings Licenses Tests","","","S1 - Clicking View License should take user to our licenses page",""
"passed","Thu Oct 17 21:43:08 GMT 2024","Thu Oct 17 21:43:12 GMT 2024","4365","desktop-chrome","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C2 - Hovering over Create Chat should show tooltips",""
"passed","Thu Oct 17 21:41:19 GMT 2024","Thu Oct 17 21:41:41 GMT 2024","21729","desktop-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","B51 - Chats Markdowns Tests",""
"passed","Thu Oct 17 21:37:02 GMT 2024","Thu Oct 17 21:37:09 GMT 2024","6634","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A8 - If Stay Unlocked is toggled on, user should bypass PIN page when logging in",""
"passed","Thu Oct 17 21:49:19 GMT 2024","Thu Oct 17 21:49:24 GMT 2024","4832","mobile-chrome","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q3 - User should be able to toggle on/off Message Notifications",""
"passed","Thu Oct 17 21:47:39 GMT 2024","Thu Oct 17 21:47:44 GMT 2024","4873","desktop-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O7 - Highlighted border should display when user clicks cancel",""
"passed","Thu Oct 17 21:37:07 GMT 2024","Thu Oct 17 21:37:14 GMT 2024","6340","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A12 - If incorrect pin is entered, error message should be displayed",""
"passed","Thu Oct 17 21:46:09 GMT 2024","Thu Oct 17 21:46:14 GMT 2024","5782","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I22 - Clicking copy should copy the Recovery Phrase to the users clipboard",""
"passed","Thu Oct 17 21:36:52 GMT 2024","Thu Oct 17 21:36:55 GMT 2024","3321","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A4 - Clicking red reset button should erase any inputs made",""
"passed","Thu Oct 17 21:46:25 GMT 2024","Thu Oct 17 21:46:30 GMT 2024","4874","desktop-chrome","10-settings-messages.spec.ts","Settings Messages Tests","","","L2 - User should be able to toggle on and off Markdown support",""
"passed","Thu Oct 17 21:50:59 GMT 2024","Thu Oct 17 21:51:04 GMT 2024","4755","mobile-chrome","24-files.spec.ts","Files Page Tests","","","F8 - If user tries to create a folder with empty name or press Esc while name input is displayed, folder is not created",""
"passed","Thu Oct 17 21:39:39 GMT 2024","Thu Oct 17 21:39:58 GMT 2024","18942","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","C11, C12, C16, C17 and C19 - Chat Sidebar tests",""
"passed","Thu Oct 17 21:44:55 GMT 2024","Thu Oct 17 21:45:00 GMT 2024","5070","desktop-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I21 - Clicking Reveal Phrase should display the users Recovery Phrases",""
"passed","Thu Oct 17 21:43:32 GMT 2024","Thu Oct 17 21:43:36 GMT 2024","4623","desktop-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I1 - Banner Picture - Tooltip displayed",""
"passed","Thu Oct 17 21:47:24 GMT 2024","Thu Oct 17 21:47:29 GMT 2024","5224","desktop-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O2, 04 - Clicking a key should activate the Recorded Keys - User can save keybind",""
